packet_id,flow_id,priority,arrival_time_ms,outcome,service_time_ms,finish_time_ms,waiting_ms,sojourn_ms,deadline_ms,is_deadline_missed
HRP-000000,HRP,2,0,served,0,1,0,1,4,False
SRP-000000,SRP,3,0,served,1,2,1,2,50,False
HRP-000001,HRP,2,4,served,4,5,0,1,4,False
ETC-000000,ETC,1,6,served,6,7,0,1,1,False
ETC-000001,ETC,1,7,served,7,8,0,1,1,False
HRP-000002,HRP,2,8,served,8,9,0,1,4,False
ETC-000002,ETC,1,9,served,9,10,0,1,1,False
ETC-000003,ETC,1,11,served,11,12,0,1,1,False
HRP-000003,HRP,2,12,served,12,13,0,1,4,False
HRP-000004,HRP,2,16,served,16,17,0,1,4,False
ETC-000004,ETC,1,18,served,18,19,0,1,1,False
HRP-000005,HRP,2,20,served,20,21,0,1,4,False
SRP-000001,SRP,3,20,served,21,22,1,2,50,False
ETC-000005,ETC,1,24,served,24,25,0,1,1,False
HRP-000006,HRP,2,24,served,25,26,1,2,4,False
HRP-000007,HRP,2,28,served,28,29,0,1,4,False
HRP-000008,HRP,2,32,served,32,33,0,1,4,False
ETC-000006,ETC,1,36,served,36,37,0,1,1,False
ETC-000007,ETC,1,37,served,37,38,0,1,1,False
HRP-000009,HRP,2,36,served,38,39,2,3,4,False
ETC-000008,ETC,1,40,served,40,41,0,1,1,False
ETC-000009,ETC,1,41,served,41,42,0,1,1,False
HRP-000010,HRP,2,40,served,42,43,2,3,4,False
ETC-000010,ETC,1,43,served,43,44,0,1,1,False
HRP-000011,HRP,2,44,served,44,45,0,1,4,False
SRP-000002,SRP,3,40,served,45,46,5,6,50,False
ETC-000011,ETC,1,47,served,47,48,0,1,1,False
ETC-000012,ETC,1,48,served,48,49,0,1,1,False
HRP-000012,HRP,2,48,served,49,50,1,2,4,False
ETC-000013,ETC,1,50,served,50,51,0,1,1,False
HRP-000013,HRP,2,52,served,52,53,0,1,4,False
ETC-000014,ETC,1,56,served,56,57,0,1,1,False
HRP-000014,HRP,2,56,served,57,58,1,2,4,False
ETC-000015,ETC,1,60,served,60,61,0,1,1,False
HRP-000015,HRP,2,60,served,61,62,1,2,4,False
ETC-000016,ETC,1,62,served,62,63,0,1,1,False
SRP-000003,SRP,3,60,served,63,64,3,4,50,False
HRP-000016,HRP,2,64,served,64,65,0,1,4,False
ETC-000017,ETC,1,67,served,67,68,0,1,1,False
HRP-000017,HRP,2,68,served,68,69,0,1,4,False
HRP-000018,HRP,2,72,served,72,73,0,1,4,False
ETC-000018,ETC,1,76,served,76,77,0,1,1,False
ETC-000019,ETC,1,77,served,77,78,0,1,1,False
HRP-000019,HRP,2,76,served,78,79,2,3,4,False
HRP-000020,HRP,2,80,served,80,81,0,1,4,False
SRP-000004,SRP,3,80,served,81,82,1,2,50,False
HRP-000021,HRP,2,84,served,84,85,0,1,4,False
ETC-000020,ETC,1,86,served,86,87,0,1,1,False
HRP-000022,HRP,2,88,served,88,89,0,1,4,False
ETC-000021,ETC,1,92,served,92,93,0,1,1,False
HRP-000023,HRP,2,92,served,93,94,1,2,4,False
ETC-000022,ETC,1,95,served,95,96,0,1,1,False
ETC-000023,ETC,1,96,served,96,97,0,1,1,False
HRP-000024,HRP,2,96,served,97,98,1,2,4,False
HRP-000025,HRP,2,100,served,100,101,0,1,4,False
SRP-000005,SRP,3,100,served,101,102,1,2,50,False
HRP-000026,HRP,2,104,served,104,105,0,1,4,False
HRP-000027,HRP,2,108,served,108,109,0,1,4,False
ETC-000024,ETC,1,112,served,112,113,0,1,1,False
HRP-000028,HRP,2,112,served,113,114,1,2,4,False
ETC-000025,ETC,1,115,served,115,116,0,1,1,False
ETC-000026,ETC,1,116,served,116,117,0,1,1,False
ETC-000027,ETC,1,117,served,117,118,0,1,1,False
HRP-000029,HRP,2,116,served,118,119,2,3,4,False
HRP-000030,HRP,2,120,served,120,121,0,1,4,False
SRP-000006,SRP,3,120,served,121,122,1,2,50,False
HRP-000031,HRP,2,124,served,124,125,0,1,4,False
ETC-000028,ETC,1,127,served,127,128,0,1,1,False
HRP-000032,HRP,2,128,served,128,129,0,1,4,False
ETC-000029,ETC,1,132,served,132,133,0,1,1,False
HRP-000033,HRP,2,132,served,133,134,1,2,4,False
HRP-000034,HRP,2,136,served,136,137,0,1,4,False
HRP-000035,HRP,2,140,served,140,141,0,1,4,False
ETC-000030,ETC,1,141,served,141,142,0,1,1,False
SRP-000007,SRP,3,140,served,142,143,2,3,50,False
HRP-000036,HRP,2,144,served,144,145,0,1,4,False
ETC-000031,ETC,1,148,served,148,149,0,1,1,False
HRP-000037,HRP,2,148,served,149,150,1,2,4,False
ETC-000032,ETC,1,152,served,152,153,0,1,1,False
HRP-000038,HRP,2,152,served,153,154,1,2,4,False
HRP-000039,HRP,2,156,served,156,157,0,1,4,False
HRP-000040,HRP,2,160,served,160,161,0,1,4,False
SRP-000008,SRP,3,160,served,161,162,1,2,50,False
HRP-000041,HRP,2,164,served,164,165,0,1,4,False
HRP-000042,HRP,2,168,served,168,169,0,1,4,False
ETC-000033,ETC,1,171,served,171,172,0,1,1,False
HRP-000043,HRP,2,172,served,172,173,0,1,4,False
ETC-000034,ETC,1,174,served,174,175,0,1,1,False
HRP-000044,HRP,2,176,served,176,177,0,1,4,False
ETC-000035,ETC,1,179,served,179,180,0,1,1,False
HRP-000045,HRP,2,180,served,180,181,0,1,4,False
SRP-000009,SRP,3,180,served,181,182,1,2,50,False
HRP-000046,HRP,2,184,served,184,185,0,1,4,False
ETC-000036,ETC,1,188,served,188,189,0,1,1,False
HRP-000047,HRP,2,188,served,189,190,1,2,4,False
HRP-000048,HRP,2,192,served,192,193,0,1,4,False
ETC-000037,ETC,1,193,served,193,194,0,1,1,False
HRP-000049,HRP,2,196,served,196,197,0,1,4,False
HRP-000050,HRP,2,200,served,200,201,0,1,4,False
SRP-000010,SRP,3,200,served,201,202,1,2,50,False
ETC-000038,ETC,1,203,served,203,204,0,1,1,False
HRP-000051,HRP,2,204,served,204,205,0,1,4,False
ETC-000039,ETC,1,208,served,208,209,0,1,1,False
HRP-000052,HRP,2,208,served,209,210,1,2,4,False
HRP-000053,HRP,2,212,served,212,213,0,1,4,False
ETC-000040,ETC,1,215,served,215,216,0,1,1,False
ETC-000041,ETC,1,216,served,216,217,0,1,1,False
HRP-000054,HRP,2,216,served,217,218,1,2,4,False
ETC-000042,ETC,1,218,served,218,219,0,1,1,False
ETC-000043,ETC,1,220,served,220,221,0,1,1,False
ETC-000044,ETC,1,221,served,221,222,0,1,1,False
HRP-000055,HRP,2,220,served,222,223,2,3,4,False
ETC-000045,ETC,1,223,served,223,224,0,1,1,False
ETC-000046,ETC,1,224,served,224,225,0,1,1,False
HRP-000056,HRP,2,224,served,225,226,1,2,4,False
ETC-000047,ETC,1,226,served,226,227,0,1,1,False
SRP-000011,SRP,3,220,served,227,228,7,8,50,False
HRP-000057,HRP,2,228,served,228,229,0,1,4,False
ETC-000048,ETC,1,232,served,232,233,0,1,1,False
HRP-000058,HRP,2,232,served,233,234,1,2,4,False
