packet_id,flow_id,priority,arrival_time_ms,outcome,service_time_ms,finish_time_ms,waiting_ms,sojourn_ms,deadline_ms,is_deadline_missed,tx_count,bler,is_success
HRP-000000,HRP,2,0,delivered,0,1,0,1,4,False,1,0.01,True
SRP-000000,SRP,3,0,tx_fail_requeue,1,2,1,2,50,False,1,0.05,False
SRP-000000,SRP,3,0,delivered,2,3,2,3,50,False,2,0.05,True
HRP-000001,HRP,2,4,delivered,4,5,0,1,4,False,1,0.01,True
ETC-000000,ETC,1,6,delivered,6,7,0,1,1,False,1,0.001,True
ETC-000001,ETC,1,7,delivered,7,8,0,1,1,False,1,0.001,True
HRP-000002,HRP,2,8,delivered,8,9,0,1,4,False,1,0.01,True
ETC-000002,ETC,1,9,delivered,9,10,0,1,1,False,1,0.001,True
ETC-000003,ETC,1,11,delivered,11,12,0,1,1,False,1,0.001,True
HRP-000003,HRP,2,12,delivered,12,13,0,1,4,False,1,0.01,True
HRP-000004,HRP,2,16,delivered,16,17,0,1,4,False,1,0.01,True
ETC-000004,ETC,1,18,delivered,18,19,0,1,1,False,1,0.001,True
HRP-000005,HRP,2,20,delivered,20,21,0,1,4,False,1,0.01,True
SRP-000001,SRP,3,20,delivered,21,22,1,2,50,False,1,0.05,True
ETC-000005,ETC,1,24,delivered,24,25,0,1,1,False,1,0.001,True
HRP-000006,HRP,2,24,delivered,25,26,1,2,4,False,1,0.01,True
HRP-000007,HRP,2,28,delivered,28,29,0,1,4,False,1,0.01,True
HRP-000008,HRP,2,32,delivered,32,33,0,1,4,False,1,0.01,True
ETC-000006,ETC,1,36,delivered,36,37,0,1,1,False,1,0.001,True
ETC-000007,ETC,1,37,delivered,37,38,0,1,1,False,1,0.001,True
HRP-000009,HRP,2,36,delivered,38,39,2,3,4,False,1,0.01,True
ETC-000008,ETC,1,40,delivered,40,41,0,1,1,False,1,0.001,True
ETC-000009,ETC,1,41,delivered,41,42,0,1,1,False,1,0.001,True
HRP-000010,HRP,2,40,delivered,42,43,2,3,4,False,1,0.01,True
ETC-000010,ETC,1,43,delivered,43,44,0,1,1,False,1,0.001,True
HRP-000011,HRP,2,44,delivered,44,45,0,1,4,False,1,0.01,True
SRP-000002,SRP,3,40,delivered,45,46,5,6,50,False,1,0.05,True
ETC-000011,ETC,1,47,delivered,47,48,0,1,1,False,1,0.001,True
ETC-000012,ETC,1,48,delivered,48,49,0,1,1,False,1,0.001,True
HRP-000012,HRP,2,48,delivered,49,50,1,2,4,False,1,0.01,True
ETC-000013,ETC,1,50,delivered,50,51,0,1,1,False,1,0.001,True
HRP-000013,HRP,2,52,delivered,52,53,0,1,4,False,1,0.01,True
ETC-000014,ETC,1,56,delivered,56,57,0,1,1,False,1,0.001,True
HRP-000014,HRP,2,56,delivered,57,58,1,2,4,False,1,0.01,True
ETC-000015,ETC,1,60,delivered,60,61,0,1,1,False,1,0.001,True
HRP-000015,HRP,2,60,delivered,61,62,1,2,4,False,1,0.01,True
ETC-000016,ETC,1,62,delivered,62,63,0,1,1,False,1,0.001,True
SRP-000003,SRP,3,60,delivered,63,64,3,4,50,False,1,0.05,True
HRP-000016,HRP,2,64,delivered,64,65,0,1,4,False,1,0.01,True
ETC-000017,ETC,1,67,delivered,67,68,0,1,1,False,1,0.001,True
HRP-000017,HRP,2,68,delivered,68,69,0,1,4,False,1,0.01,True
HRP-000018,HRP,2,72,delivered,72,73,0,1,4,False,1,0.01,True
ETC-000018,ETC,1,76,delivered,76,77,0,1,1,False,1,0.001,True
ETC-000019,ETC,1,77,delivered,77,78,0,1,1,False,1,0.001,True
HRP-000019,HRP,2,76,delivered,78,79,2,3,4,False,1,0.01,True
HRP-000020,HRP,2,80,delivered,80,81,0,1,4,False,1,0.01,True
SRP-000004,SRP,3,80,delivered,81,82,1,2,50,False,1,0.05,True
HRP-000021,HRP,2,84,delivered,84,85,0,1,4,False,1,0.01,True
ETC-000020,ETC,1,86,delivered,86,87,0,1,1,False,1,0.001,True
HRP-000022,HRP,2,88,delivered,88,89,0,1,4,False,1,0.01,True
ETC-000021,ETC,1,92,delivered,92,93,0,1,1,False,1,0.001,True
HRP-000023,HRP,2,92,delivered,93,94,1,2,4,False,1,0.01,True
ETC-000022,ETC,1,95,delivered,95,96,0,1,1,False,1,0.001,True
ETC-000023,ETC,1,96,delivered,96,97,0,1,1,False,1,0.001,True
HRP-000024,HRP,2,96,delivered,97,98,1,2,4,False,1,0.01,True
HRP-000025,HRP,2,100,delivered,100,101,0,1,4,False,1,0.01,True
SRP-000005,SRP,3,100,delivered,101,102,1,2,50,False,1,0.05,True
HRP-000026,HRP,2,104,delivered,104,105,0,1,4,False,1,0.01,True
HRP-000027,HRP,2,108,delivered,108,109,0,1,4,False,1,0.01,True
ETC-000024,ETC,1,112,delivered,112,113,0,1,1,False,1,0.001,True
HRP-000028,HRP,2,112,delivered,113,114,1,2,4,False,1,0.01,True
ETC-000025,ETC,1,115,delivered,115,116,0,1,1,False,1,0.001,True
ETC-000026,ETC,1,116,delivered,116,117,0,1,1,False,1,0.001,True
ETC-000027,ETC,1,117,delivered,117,118,0,1,1,False,1,0.001,True
HRP-000029,HRP,2,116,delivered,118,119,2,3,4,False,1,0.01,True
HRP-000030,HRP,2,120,delivered,120,121,0,1,4,False,1,0.01,True
SRP-000006,SRP,3,120,delivered,121,122,1,2,50,False,1,0.05,True
HRP-000031,HRP,2,124,delivered,124,125,0,1,4,False,1,0.01,True
ETC-000028,ETC,1,127,delivered,127,128,0,1,1,False,1,0.001,True
HRP-000032,HRP,2,128,delivered,128,129,0,1,4,False,1,0.01,True
ETC-000029,ETC,1,132,delivered,132,133,0,1,1,False,1,0.001,True
HRP-000033,HRP,2,132,delivered,133,134,1,2,4,False,1,0.01,True
HRP-000034,HRP,2,136,delivered,136,137,0,1,4,False,1,0.01,True
HRP-000035,HRP,2,140,delivered,140,141,0,1,4,False,1,0.01,True
ETC-000030,ETC,1,141,delivered,141,142,0,1,1,False,1,0.001,True
SRP-000007,SRP,3,140,delivered,142,143,2,3,50,False,1,0.05,True
HRP-000036,HRP,2,144,delivered,144,145,0,1,4,False,1,0.01,True
ETC-000031,ETC,1,148,delivered,148,149,0,1,1,False,1,0.001,True
HRP-000037,HRP,2,148,delivered,149,150,1,2,4,False,1,0.01,True
ETC-000032,ETC,1,152,delivered,152,153,0,1,1,False,1,0.001,True
HRP-000038,HRP,2,152,delivered,153,154,1,2,4,False,1,0.01,True
HRP-000039,HRP,2,156,delivered,156,157,0,1,4,False,1,0.01,True
HRP-000040,HRP,2,160,delivered,160,161,0,1,4,False,1,0.01,True
SRP-000008,SRP,3,160,delivered,161,162,1,2,50,False,1,0.05,True
HRP-000041,HRP,2,164,delivered,164,165,0,1,4,False,1,0.01,True
HRP-000042,HRP,2,168,delivered,168,169,0,1,4,False,1,0.01,True
ETC-000033,ETC,1,171,delivered,171,172,0,1,1,False,1,0.001,True
HRP-000043,HRP,2,172,delivered,172,173,0,1,4,False,1,0.01,True
ETC-000034,ETC,1,174,delivered,174,175,0,1,1,False,1,0.001,True
HRP-000044,HRP,2,176,delivered,176,177,0,1,4,False,1,0.01,True
ETC-000035,ETC,1,179,delivered,179,180,0,1,1,False,1,0.001,True
HRP-000045,HRP,2,180,delivered,180,181,0,1,4,False,1,0.01,True
SRP-000009,SRP,3,180,delivered,181,182,1,2,50,False,1,0.05,True
