packet_id,flow_id,priority,arrival_time_ms,outcome,service_time_ms,finish_time_ms,waiting_ms,sojourn_ms,deadline_ms,is_deadline_missed,tx_count,bler,is_success,snr_db,mcs,is_los
HRP-000000,HRP,2,0,tx_fail_requeue,0,1,0,1,4,False,1,0.9993809142083252,False,5.594106400171572,QPSK,False
HRP-000000,HRP,2,0,tx_fail_requeue,1,2,1,2,4,False,2,0.07547143234342235,False,10.695271864272469,QPSK,False
HRP-000000,HRP,2,0,delivered,2,3,2,3,4,False,3,4.927841246171738e-09,True,16.403692007629303,QPSK,False
SRP-000000,SRP,3,0,delivered,3,4,3,4,50,False,1,1.5999646052478056e-09,True,17.150753249161482,QPSK,False
HRP-000001,HRP,2,4,delivered,4,5,0,1,4,False,1,2.559943368396489e-10,True,27.957112858202024,16QAM,False
ETC-000000,ETC,1,6,delivered,6,7,0,1,1,False,1,1.2799716841982445e-10,True,25.522798568517903,16QAM,True
ETC-000001,ETC,1,7,delivered,7,8,0,1,1,False,1,1.2799716841982445e-10,True,40.724076621546565,16QAM,False
HRP-000002,HRP,2,8,delivered,8,9,0,1,4,False,1,2.559943368396489e-10,True,17.796633039077317,QPSK,False
ETC-000002,ETC,1,9,delivered,9,10,0,1,1,False,1,1.2799716841982445e-10,True,34.53242685549969,16QAM,True
ETC-000003,ETC,1,11,delivered,11,12,0,1,1,False,1,1.2799716841982445e-10,True,18.015678114572577,QPSK,False
HRP-000003,HRP,2,12,delivered,12,13,0,1,4,False,1,0.2889236716243514,True,9.554809530049642,QPSK,False
HRP-000004,HRP,2,16,delivered,16,17,0,1,4,False,1,2.559943368396489e-10,True,31.251268802482507,16QAM,True
ETC-000004,ETC,1,18,delivered,18,19,0,1,1,False,1,1.2799716841982445e-10,True,18.088779311392685,QPSK,False
HRP-000005,HRP,2,20,delivered,20,21,0,1,4,False,1,2.559943368396489e-10,True,27.37333411049545,16QAM,False
SRP-000001,SRP,3,20,delivered,21,22,1,2,50,False,1,1.5999646052478056e-09,True,27.53660578172282,16QAM,False
ETC-000005,ETC,1,24,delivered,24,25,0,1,1,False,1,1.921236503221735e-09,True,23.385817679033217,16QAM,False
HRP-000006,HRP,2,24,delivered,25,26,1,2,4,False,1,2.559943368396489e-10,True,27.57527282530836,16QAM,False
HRP-000007,HRP,2,28,delivered,28,29,0,1,4,False,1,2.559943368396489e-10,True,24.642992530031066,16QAM,True
HRP-000008,HRP,2,32,delivered,32,33,0,1,4,False,1,2.559943368396489e-10,True,37.415107616259505,16QAM,True
ETC-000006,ETC,1,36,delivered,36,37,0,1,1,False,1,1.2799716841982445e-10,True,25.954437543689707,16QAM,False
ETC-000007,ETC,1,37,delivered,37,38,0,1,1,False,1,3.241353851990425e-10,True,23.719716486065742,16QAM,False
HRP-000009,HRP,2,36,delivered,38,39,2,3,4,False,1,0.0028946468259688496,True,12.541281495292655,QPSK,False
ETC-000008,ETC,1,40,delivered,40,41,0,1,1,False,1,1.2799716841982445e-10,True,27.68689792870653,16QAM,False
ETC-000009,ETC,1,41,delivered,41,42,0,1,1,False,1,1.2799716841982445e-10,True,25.911285767383482,16QAM,False
HRP-000010,HRP,2,40,tx_fail_requeue,42,43,2,3,4,False,1,0.6420827609583933,False,8.470194004006604,QPSK,False
ETC-000010,ETC,1,43,delivered,43,44,0,1,1,False,1,1.2799716841982445e-10,True,39.25599336019975,16QAM,True
HRP-000010,HRP,2,40,dropped_deadline,42,44,4,4,4,True,1,0.0,False,,,
HRP-000011,HRP,2,44,delivered,44,45,0,1,4,False,1,3.3275891827555526e-06,True,21.822327192585803,16QAM,True
SRP-000002,SRP,3,40,delivered,45,46,5,6,50,False,1,1.5999646052478056e-09,True,16.975429110978887,QPSK,False
ETC-000011,ETC,1,47,delivered,47,48,0,1,1,False,1,1.2799716841982445e-10,True,24.1733146417965,16QAM,False
ETC-000012,ETC,1,48,delivered,48,49,0,1,1,False,1,0.0035915855837850286,True,18.943543836942503,16QAM,False
HRP-000012,HRP,2,48,delivered,49,50,1,2,4,False,1,2.559943368396489e-10,True,24.20105696870394,16QAM,False
