packet_id,flow_id,priority,arrival_time_ms,outcome,service_time_ms,finish_time_ms,first_tx_time_ms,delivered_time_ms,waiting_ms,queue_delay_ms,tx_time_ms,sojourn_ms,deadline_ms,is_deadline_missed,tx_count,bler,is_success,snr_db,mcs,is_los,bits_per_slot,bits_sent_this_slot,remaining_bits_after,bandwidth_eff_mhz
HRP-000000,HRP,2,0,delivered,0,1,0,1,0,0,1,1,4,False,1,3.7161953514441848e-09,True,16.458255422089028,QPSK,False,20000,256,0,20.0
SRP-000000,SRP,3,0,delivered,1,2,1,2,1,1,1,2,50,False,1,5.229805707762658e-05,True,21.559420886189923,16QAM,False,60000,1600,0,20.0
HRP-000001,HRP,2,4,delivered,4,5,4,5,0,0,1,1,4,False,1,2.559943368396489e-10,True,40.56866296190594,16QAM,True,60000,256,0,20.0
ETC-000000,ETC,1,6,delivered,6,7,6,7,0,0,1,1,1,False,1,6.228042117129018e-05,True,20.686838744814185,16QAM,False,60000,128,0,20.0
ETC-000001,ETC,1,7,delivered,7,8,7,8,0,0,1,1,1,False,1,1.2799716841982445e-10,True,34.63165600342959,16QAM,False,60000,128,0,20.0
HRP-000002,HRP,2,8,delivered,8,9,8,9,0,0,1,1,4,False,1,2.559943368396489e-10,True,44.69818613414346,16QAM,True,60000,256,0,20.0
ETC-000002,ETC,1,9,delivered,9,10,9,10,0,0,1,1,1,False,1,1.2799716841982445e-10,True,30.751086052358573,16QAM,False,60000,128,0,20.0
ETC-000003,ETC,1,11,delivered,11,12,11,12,0,0,1,1,1,False,1,1.2799716841982445e-10,True,40.53126567756328,16QAM,False,60000,128,0,20.0
HRP-000003,HRP,2,12,delivered,12,13,12,13,0,0,1,1,4,False,1,2.559943368396489e-10,True,44.414465004126214,16QAM,True,60000,256,0,20.0
HRP-000004,HRP,2,16,delivered,16,17,16,17,0,0,1,1,4,False,1,2.559943368396489e-10,True,41.55119702846039,16QAM,True,60000,256,0,20.0
ETC-000004,ETC,1,18,delivered,18,19,18,19,0,0,1,1,1,False,1,1.2799716841982445e-10,True,27.699510577022046,16QAM,False,60000,128,0,20.0
HRP-000005,HRP,2,20,delivered,20,21,20,21,0,0,1,1,4,False,1,2.559943368396489e-10,True,38.69390074937032,16QAM,False,60000,256,0,20.0
SRP-000001,SRP,3,20,delivered,21,22,21,22,1,1,1,2,50,False,1,1.5999646052478056e-09,True,32.52370376965429,16QAM,False,60000,1600,0,20.0
ETC-000005,ETC,1,24,delivered,24,25,24,25,0,0,1,1,1,False,1,1.2799716841982445e-10,True,43.57929853206936,16QAM,True,60000,128,0,20.0
HRP-000006,HRP,2,24,delivered,25,26,25,26,1,1,1,2,4,False,1,2.559943368396489e-10,True,38.67464060632449,16QAM,True,60000,256,0,20.0
HRP-000007,HRP,2,28,delivered,28,29,28,29,0,0,1,1,4,False,1,1.7992931589105865e-09,True,23.531264163376555,16QAM,False,60000,256,0,20.0
HRP-000008,HRP,2,32,delivered,32,33,32,33,0,0,1,1,4,False,1,2.559943368396489e-10,True,28.769899632138326,16QAM,False,60000,256,0,20.0
ETC-000006,ETC,1,36,delivered,36,37,36,37,0,0,1,1,1,False,1,6.830508192390283e-08,True,22.628903303969757,16QAM,False,60000,128,0,20.0
ETC-000007,ETC,1,37,delivered,37,38,37,38,0,0,1,1,1,False,1,1.2799716841982445e-10,True,44.62848055212427,16QAM,False,60000,128,0,20.0
HRP-000009,HRP,2,36,delivered,38,39,38,39,2,2,1,3,4,False,1,2.559943368396489e-10,True,31.17689260614062,16QAM,False,60000,256,0,20.0
ETC-000008,ETC,1,40,delivered,40,41,40,41,0,0,1,1,1,False,1,1.2799716841982445e-10,True,47.07686702795458,16QAM,True,60000,128,0,20.0
ETC-000009,ETC,1,41,delivered,41,42,41,42,0,0,1,1,1,False,1,1.2799716841982445e-10,True,46.49503540239068,16QAM,True,60000,128,0,20.0
HRP-000010,HRP,2,40,delivered,42,43,42,43,2,2,1,3,4,False,1,2.559943368396489e-10,True,32.40796361969031,16QAM,False,60000,256,0,20.0
ETC-000010,ETC,1,43,delivered,43,44,43,44,0,0,1,1,1,False,1,1.2799716841982445e-10,True,44.25696683930308,16QAM,True,60000,128,0,20.0
HRP-000011,HRP,2,44,delivered,44,45,44,45,0,0,1,1,4,False,1,2.559943368396489e-10,True,38.272235974570236,16QAM,False,60000,256,0,20.0
SRP-000002,SRP,3,40,delivered,45,46,45,46,5,5,1,6,50,False,1,1.5999646052478056e-09,True,48.48901033511854,16QAM,True,60000,1600,0,20.0
ETC-000011,ETC,1,47,delivered,47,48,47,48,0,0,1,1,1,False,1,1.2799716841982445e-10,True,46.02387680345957,16QAM,True,60000,128,0,20.0
ETC-000012,ETC,1,48,delivered,48,49,48,49,0,0,1,1,1,False,1,1.2799716841982445e-10,True,28.922540002004116,16QAM,False,60000,128,0,20.0
HRP-000012,HRP,2,48,delivered,49,50,49,50,1,1,1,2,4,False,1,2.559943368396489e-10,True,37.03645869857218,16QAM,False,60000,256,0,20.0
ETC-000013,ETC,1,50,delivered,50,51,50,51,0,0,1,1,1,False,1,1.2799716841982445e-10,True,25.957596739933496,16QAM,False,60000,128,0,20.0
HRP-000013,HRP,2,52,delivered,52,53,52,53,0,0,1,1,4,False,1,2.559943368396489e-10,True,37.14119045240557,16QAM,False,60000,256,0,20.0
ETC-000014,ETC,1,56,delivered,56,57,56,57,0,0,1,1,1,False,1,1.2799716841982445e-10,True,29.03402160729048,16QAM,False,60000,128,0,20.0
HRP-000014,HRP,2,56,delivered,57,58,57,58,1,1,1,2,4,False,1,2.559943368396489e-10,True,36.05352045945644,16QAM,False,60000,256,0,20.0
ETC-000015,ETC,1,60,delivered,60,61,60,61,0,0,1,1,1,False,1,1.2799716841982445e-10,True,48.371135563510315,16QAM,True,60000,128,0,20.0
HRP-000015,HRP,2,60,delivered,61,62,61,62,1,1,1,2,4,False,1,2.559943368396489e-10,True,28.304511837088008,16QAM,False,60000,256,0,20.0
ETC-000016,ETC,1,62,delivered,62,63,62,63,0,0,1,1,1,False,1,1.2799716841982445e-10,True,37.51099555836495,16QAM,True,60000,128,0,20.0
SRP-000003,SRP,3,60,delivered,63,64,63,64,3,3,1,4,50,False,1,1.5999646052478056e-09,True,43.08087454350127,16QAM,False,60000,1600,0,20.0
HRP-000016,HRP,2,64,delivered,64,65,64,65,0,0,1,1,4,False,1,2.559943368396489e-10,True,40.307307711588116,16QAM,False,60000,256,0,20.0
ETC-000017,ETC,1,67,delivered,67,68,67,68,0,0,1,1,1,False,1,1.2799716841982445e-10,True,46.44123980517712,16QAM,True,60000,128,0,20.0
