packet_id,attempt_idx,t_tx_start_ms,mcs,snr_db,bler,is_success,bits_sent,remaining_bits_after
HRP-000000,1,0,16QAM,36.45825542208903,2.559943368396489e-10,True,256,0
SRP-000000,1,1,16QAM,41.559420886189926,1.5999646052478056e-09,True,600,1000
SRP-000000,2,2,16QAM,60.56866296190594,1.5999646052478056e-09,True,600,400
SRP-000000,3,3,16QAM,40.68683874481418,1.5999646052478056e-09,True,400,0
HRP-000001,1,4,16QAM,54.63165600342958,2.559943368396489e-10,True,256,0
ETC-000000,1,6,16QAM,64.69818613414346,1.2799716841982445e-10,True,128,0
ETC-000001,1,7,16QAM,50.75108605235857,1.2799716841982445e-10,True,128,0
HRP-000002,1,8,16QAM,60.53126567756328,2.559943368396489e-10,True,256,0
ETC-000002,1,9,16QAM,64.41446500412621,1.2799716841982445e-10,True,128,0
ETC-000003,1,11,16QAM,61.55119702846039,1.2799716841982445e-10,True,128,0
HRP-000003,1,12,16QAM,47.699510577022046,2.559943368396489e-10,True,256,0
HRP-000004,1,16,16QAM,58.69390074937033,2.559943368396489e-10,True,256,0
ETC-000004,1,18,16QAM,52.523703769654276,1.2799716841982445e-10,True,128,0
HRP-000005,1,20,16QAM,63.57929853206936,2.559943368396489e-10,True,256,0
SRP-000001,1,21,16QAM,58.67464060632449,1.5999646052478056e-09,True,600,1000
SRP-000001,2,22,16QAM,43.531264163376555,1.5999646052478056e-09,True,600,400
SRP-000001,3,23,16QAM,48.76989963213832,1.5999646052478056e-09,True,400,0
ETC-000005,1,24,16QAM,42.62890330396975,1.2799716841982445e-10,True,128,0
HRP-000006,1,25,16QAM,64.62848055212427,2.559943368396489e-10,True,256,0
HRP-000007,1,28,16QAM,51.176892606140626,2.559943368396489e-10,True,256,0
HRP-000008,1,32,16QAM,67.07686702795458,2.559943368396489e-10,True,256,0
ETC-000006,1,36,16QAM,66.49503540239068,1.2799716841982445e-10,True,128,0
ETC-000007,1,37,16QAM,52.407963619690314,1.2799716841982445e-10,True,128,0
HRP-000009,1,38,16QAM,64.25696683930309,2.559943368396489e-10,True,256,0
ETC-000008,1,40,16QAM,58.27223597457024,1.2799716841982445e-10,True,128,0
ETC-000009,1,41,16QAM,68.48901033511854,1.2799716841982445e-10,True,128,0
HRP-000010,1,42,16QAM,66.02387680345957,2.559943368396489e-10,True,256,0
ETC-000010,1,43,16QAM,48.92254000200411,1.2799716841982445e-10,True,128,0
HRP-000011,1,44,16QAM,57.03645869857218,2.559943368396489e-10,True,256,0
SRP-000002,1,45,16QAM,45.95759673993349,1.5999646052478056e-09,True,600,1000
SRP-000002,2,46,16QAM,57.14119045240557,1.5999646052478056e-09,True,600,400
ETC-000011,1,47,16QAM,49.03402160729048,1.2799716841982445e-10,True,128,0
ETC-000012,1,48,16QAM,56.05352045945644,1.2799716841982445e-10,True,128,0
HRP-000012,1,49,16QAM,68.37113556351031,2.559943368396489e-10,True,256,0
ETC-000013,1,50,16QAM,48.304511837088015,1.2799716841982445e-10,True,128,0
SRP-000002,3,51,16QAM,57.51099555836494,1.5999646052478056e-09,True,400,0
HRP-000013,1,52,16QAM,63.08087454350127,2.559943368396489e-10,True,256,0
ETC-000014,1,56,16QAM,60.307307711588116,1.2799716841982445e-10,True,128,0
HRP-000014,1,57,16QAM,66.44123980517712,2.559943368396489e-10,True,256,0
ETC-000015,1,60,16QAM,59.617431484956676,1.2799716841982445e-10,True,128,0
HRP-000015,1,61,16QAM,60.07456825240479,2.559943368396489e-10,True,256,0
ETC-000016,1,62,16QAM,51.98158139229836,1.2799716841982445e-10,True,128,0
SRP-000003,1,63,16QAM,69.04393504984807,1.5999646052478056e-09,True,600,1000
HRP-000016,1,64,16QAM,55.398826261687894,2.559943368396489e-10,True,256,0
SRP-000003,2,65,16QAM,55.98463768949044,1.5999646052478056e-09,True,600,400
SRP-000003,3,66,16QAM,54.004982774062654,1.5999646052478056e-09,True,400,0
ETC-000017,1,67,16QAM,63.86818046640361,1.2799716841982445e-10,True,128,0
HRP-000017,1,68,16QAM,57.096328856531116,2.559943368396489e-10,True,256,0
HRP-000018,1,72,16QAM,53.94783350529897,2.559943368396489e-10,True,256,0
ETC-000018,1,76,16QAM,58.83914923246854,1.2799716841982445e-10,True,128,0
ETC-000019,1,77,16QAM,61.05852859857541,1.2799716841982445e-10,True,128,0
HRP-000019,1,78,16QAM,63.084809872670455,2.559943368396489e-10,True,256,0
HRP-000020,1,80,16QAM,66.86003349945385,2.559943368396489e-10,True,256,0
SRP-000004,1,81,16QAM,67.18766469783824,1.5999646052478056e-09,True,600,1000
SRP-000004,2,82,16QAM,65.6820458634794,1.5999646052478056e-09,True,600,400
SRP-000004,3,83,16QAM,57.82480673177752,1.5999646052478056e-09,True,400,0
HRP-000021,1,84,16QAM,60.48743227696701,2.559943368396489e-10,True,256,0
ETC-000020,1,86,16QAM,72.96739506269068,1.2799716841982445e-10,True,128,0
HRP-000022,1,88,16QAM,61.742531894979884,2.559943368396489e-10,True,256,0
ETC-000021,1,92,16QAM,71.08188788829,1.2799716841982445e-10,True,128,0
HRP-000023,1,93,16QAM,53.56150767098788,2.559943368396489e-10,True,256,0
ETC-000022,1,95,16QAM,66.94839688869654,1.2799716841982445e-10,True,128,0
ETC-000023,1,96,16QAM,67.56999592106136,1.2799716841982445e-10,True,128,0
HRP-000024,1,97,16QAM,49.91171613956433,2.559943368396489e-10,True,256,0
HRP-000025,1,100,16QAM,56.589167021031514,2.559943368396489e-10,True,256,0
SRP-000005,1,101,16QAM,33.72641501910073,1.5999646052478056e-09,True,600,1000
SRP-000005,2,102,16QAM,60.21751097908803,1.5999646052478056e-09,True,600,400
SRP-000005,3,103,16QAM,63.23571103745962,1.5999646052478056e-09,True,400,0
HRP-000026,1,104,16QAM,56.53481888921363,2.559943368396489e-10,True,256,0
HRP-000027,1,108,16QAM,54.25437423948594,2.559943368396489e-10,True,256,0
ETC-000024,1,112,16QAM,67.2147008976263,1.2799716841982445e-10,True,128,0
HRP-000028,1,113,16QAM,50.00182107040996,2.559943368396489e-10,True,256,0
ETC-000025,1,115,16QAM,48.19608555697167,1.2799716841982445e-10,True,128,0
ETC-000026,1,116,16QAM,60.8699782298858,1.2799716841982445e-10,True,128,0
ETC-000027,1,117,16QAM,54.27309423104397,1.2799716841982445e-10,True,128,0
HRP-000029,1,118,16QAM,56.883623377221824,2.559943368396489e-10,True,256,0
HRP-000030,1,120,16QAM,58.91002067683366,2.559943368396489e-10,True,256,0
SRP-000006,1,121,16QAM,58.40906763247611,1.5999646052478056e-09,True,600,1000
SRP-000006,2,122,16QAM,62.13295036718019,1.5999646052478056e-09,True,600,400
SRP-000006,3,123,16QAM,63.00357121831094,1.5999646052478056e-09,True,400,0
HRP-000031,1,124,16QAM,68.35085873744877,2.559943368396489e-10,True,256,0
ETC-000028,1,127,16QAM,73.28280736234747,1.2799716841982445e-10,True,128,0
HRP-000032,1,128,16QAM,57.02763955981368,2.559943368396489e-10,True,256,0
ETC-000029,1,132,16QAM,69.12334283905574,1.2799716841982445e-10,True,128,0
HRP-000033,1,133,16QAM,57.27900435211379,2.559943368396489e-10,True,256,0
HRP-000034,1,136,16QAM,58.617992498050654,2.559943368396489e-10,True,256,0
HRP-000035,1,140,16QAM,62.26698658682629,2.559943368396489e-10,True,256,0
ETC-000030,1,141,16QAM,49.755223786683146,1.2799716841982445e-10,True,128,0
SRP-000007,1,142,16QAM,67.42518050241819,1.5999646052478056e-09,True,600,1000
SRP-000007,2,143,16QAM,51.5106449321529,1.5999646052478056e-09,True,600,400
HRP-000036,1,144,16QAM,59.66298956561453,2.559943368396489e-10,True,256,0
SRP-000007,3,145,16QAM,58.04443734562419,1.5999646052478056e-09,True,400,0
