packet_id,flow_id,priority,t_arrival_ms,t_first_tx_ms,t_done_ms,queue_delay_ms,sojourn_ms,deadline_ms,is_deadline_missed,outcome,tx_count,is_success,mcs,snr_db,bler,bandwidth_eff_mhz,bits_per_slot_eff,packet_bits
HRP-000000,HRP,2,0,0,1,0,1,4,False,delivered,1,True,16QAM,36.45825542208903,2.559943368396489e-10,0.2,600,256
SRP-000000,SRP,3,0,1,4,1,4,50,False,delivered,3,True,16QAM,40.68683874481418,1.5999646052478056e-09,0.2,600,1600
HRP-000001,HRP,2,4,4,5,0,1,4,False,delivered,1,True,16QAM,54.63165600342958,2.559943368396489e-10,0.2,600,256
ETC-000000,ETC,1,6,6,7,0,1,1,False,delivered,1,True,16QAM,64.69818613414346,1.2799716841982445e-10,0.2,600,128
ETC-000001,ETC,1,7,7,8,0,1,1,False,delivered,1,True,16QAM,50.75108605235857,1.2799716841982445e-10,0.2,600,128
HRP-000002,HRP,2,8,8,9,0,1,4,False,delivered,1,True,16QAM,60.53126567756328,2.559943368396489e-10,0.2,600,256
ETC-000002,ETC,1,9,9,10,0,1,1,False,delivered,1,True,16QAM,64.41446500412621,1.2799716841982445e-10,0.2,600,128
ETC-000003,ETC,1,11,11,12,0,1,1,False,delivered,1,True,16QAM,61.55119702846039,1.2799716841982445e-10,0.2,600,128
HRP-000003,HRP,2,12,12,13,0,1,4,False,delivered,1,True,16QAM,47.699510577022046,2.559943368396489e-10,0.2,600,256
HRP-000004,HRP,2,16,16,17,0,1,4,False,delivered,1,True,16QAM,58.69390074937033,2.559943368396489e-10,0.2,600,256
ETC-000004,ETC,1,18,18,19,0,1,1,False,delivered,1,True,16QAM,52.523703769654276,1.2799716841982445e-10,0.2,600,128
HRP-000005,HRP,2,20,20,21,0,1,4,False,delivered,1,True,16QAM,63.57929853206936,2.559943368396489e-10,0.2,600,256
SRP-000001,SRP,3,20,21,24,1,4,50,False,delivered,3,True,16QAM,48.76989963213832,1.5999646052478056e-09,0.2,600,1600
ETC-000005,ETC,1,24,24,25,0,1,1,False,delivered,1,True,16QAM,42.62890330396975,1.2799716841982445e-10,0.2,600,128
HRP-000006,HRP,2,24,25,26,1,2,4,False,delivered,1,True,16QAM,64.62848055212427,2.559943368396489e-10,0.2,600,256
HRP-000007,HRP,2,28,28,29,0,1,4,False,delivered,1,True,16QAM,51.176892606140626,2.559943368396489e-10,0.2,600,256
HRP-000008,HRP,2,32,32,33,0,1,4,False,delivered,1,True,16QAM,67.07686702795458,2.559943368396489e-10,0.2,600,256
ETC-000006,ETC,1,36,36,37,0,1,1,False,delivered,1,True,16QAM,66.49503540239068,1.2799716841982445e-10,0.2,600,128
HRP-000009,HRP,2,36,38,39,2,3,4,False,delivered,1,True,16QAM,64.25696683930309,2.559943368396489e-10,0.2,600,256
