packet_id,ue_id,flow_id,flow_type,priority,size_bytes,arrival_time_ms,start_tx_time_ms,finish_time_ms,tx_duration_ms,deadline_ms,outcome,tx_count,is_deadline_missed,mcs,snr_db,bler
HRP-ue00-000000,0,HRP,HRP,2,32,0,0.0,1.0,1.0,4,delivered,1,False,16QAM,46.037506634857536,2.559943368396489e-10
HRP-ue01-000000,1,HRP,HRP,2,32,0,0.0,1.0,1.0,4,delivered,1,False,16QAM,52.0968543694769,2.559943368396489e-10
HRP-ue02-000000,2,HRP,HRP,2,32,0,0.0,1.0,1.0,4,delivered,1,False,16QAM,38.274637698689965,2.559943368396489e-10
HRP-ue03-000000,3,HRP,HRP,2,32,0,0.0,1.0,1.0,4,delivered,1,False,16QAM,41.95363889046513,2.559943368396489e-10
HRP-ue04-000000,4,HRP,HRP,2,32,0,0.0,1.0,1.0,4,delivered,1,False,16QAM,40.040558266673536,2.559943368396489e-10
HRP-ue05-000000,5,HRP,HRP,2,32,0,0.0,1.0,1.0,4,delivered,1,False,16QAM,27.515303620401408,2.559943368396489e-10
HRP-ue06-000000,6,HRP,HRP,2,32,0,0.0,1.0,1.0,4,delivered,1,False,16QAM,48.92096133135486,2.559943368396489e-10
HRP-ue07-000000,7,HRP,HRP,2,32,0,0.0,1.0,1.0,4,delivered,1,False,16QAM,45.47409498388379,2.559943368396489e-10
HRP-ue08-000000,8,HRP,HRP,2,32,0,0.0,1.0,1.0,4,delivered,1,False,16QAM,35.922142754104435,2.559943368396489e-10
HRP-ue09-000000,9,HRP,HRP,2,32,0,0.0,1.0,1.0,4,delivered,1,False,16QAM,26.986845542299996,2.559943368396489e-10
SRP-ue00-000000,0,SRP,SRP,3,200,0,0.0,1.0,1.0,50,delivered,1,False,16QAM,46.037506634857536,1.5999646052478056e-09
SRP-ue01-000000,1,SRP,SRP,3,200,0,0.0,1.0,1.0,50,delivered,1,False,16QAM,52.0968543694769,1.5999646052478056e-09
SRP-ue02-000000,2,SRP,SRP,3,200,0,0.0,1.0,1.0,50,delivered,1,False,16QAM,38.274637698689965,1.5999646052478056e-09
SRP-ue03-000000,3,SRP,SRP,3,200,0,0.0,1.0,1.0,50,delivered,1,False,16QAM,41.95363889046513,1.5999646052478056e-09
SRP-ue04-000000,4,SRP,SRP,3,200,0,0.0,1.0,1.0,50,delivered,1,False,16QAM,40.040558266673536,1.5999646052478056e-09
SRP-ue05-000000,5,SRP,SRP,3,200,0,0.0,1.0,1.0,50,delivered,1,False,16QAM,27.515303620401408,1.5999646052478056e-09
SRP-ue06-000000,6,SRP,SRP,3,200,0,0.0,1.0,1.0,50,delivered,1,False,16QAM,48.92096133135486,1.5999646052478056e-09
SRP-ue07-000000,7,SRP,SRP,3,200,0,0.0,1.0,1.0,50,delivered,1,False,16QAM,45.47409498388379,1.5999646052478056e-09
SRP-ue08-000000,8,SRP,SRP,3,200,0,0.0,1.0,1.0,50,delivered,1,False,16QAM,35.922142754104435,1.5999646052478056e-09
SRP-ue09-000000,9,SRP,SRP,3,200,0,0.0,1.0,1.0,50,delivered,1,False,16QAM,26.986845542299996,1.5999646052478056e-09
ETC-ue06-000000,6,ETC,ETC,1,16,1,1.0,2.0,1.0,1,delivered,1,False,16QAM,47.596475864028235,1.2799716841982445e-10
ETC-ue09-000000,9,ETC,ETC,1,16,1,1.0,2.0,1.0,1,delivered,1,False,16QAM,39.68751326234866,1.2799716841982445e-10
ETC-ue00-000000,0,ETC,ETC,1,16,2,2.0,3.0,1.0,1,delivered,1,False,16QAM,43.54759597091761,1.2799716841982445e-10
ETC-ue03-000000,3,ETC,ETC,1,16,2,2.0,3.0,1.0,1,delivered,1,False,16QAM,48.00890701677169,1.2799716841982445e-10
ETC-ue01-000000,1,ETC,ETC,1,16,3,3.0,4.0,1.0,1,delivered,1,False,16QAM,56.5622996876117,1.2799716841982445e-10
ETC-ue07-000000,7,ETC,ETC,1,16,3,3.0,4.0,1.0,1,delivered,1,False,16QAM,33.50598296400967,1.2799716841982445e-10
ETC-ue04-000000,4,ETC,ETC,1,16,4,4.0,5.0,1.0,1,delivered,1,False,16QAM,38.905228946453796,1.2799716841982445e-10
HRP-ue00-000001,0,HRP,HRP,2,32,4,4.0,5.0,1.0,4,delivered,1,False,16QAM,32.64992420139272,2.559943368396489e-10
HRP-ue01-000001,1,HRP,HRP,2,32,4,4.0,5.0,1.0,4,delivered,1,False,16QAM,48.32066439963194,2.559943368396489e-10
HRP-ue02-000001,2,HRP,HRP,2,32,4,4.0,5.0,1.0,4,delivered,1,False,16QAM,42.500928956884245,2.559943368396489e-10
HRP-ue03-000001,3,HRP,HRP,2,32,4,4.0,5.0,1.0,4,delivered,1,False,16QAM,45.19560604164296,2.559943368396489e-10
HRP-ue04-000001,4,HRP,HRP,2,32,4,4.0,5.0,1.0,4,delivered,1,False,16QAM,38.905228946453796,2.559943368396489e-10
HRP-ue05-000001,5,HRP,HRP,2,32,4,4.0,5.0,1.0,4,delivered,1,False,16QAM,35.05413876998513,2.559943368396489e-10
HRP-ue06-000001,6,HRP,HRP,2,32,4,4.0,5.0,1.0,4,delivered,1,False,16QAM,30.512040128793455,2.559943368396489e-10
HRP-ue07-000001,7,HRP,HRP,2,32,4,4.0,5.0,1.0,4,delivered,1,False,16QAM,25.62274047946524,2.559943368396489e-10
HRP-ue08-000001,8,HRP,HRP,2,32,4,4.0,5.0,1.0,4,delivered,1,False,16QAM,31.516236687874645,2.559943368396489e-10
HRP-ue09-000001,9,HRP,HRP,2,32,4,4.0,5.0,1.0,4,delivered,1,False,16QAM,25.11964987372343,2.559943368396489e-10
ETC-ue00-000001,0,ETC,ETC,1,16,6,6.0,7.0,1.0,1,delivered,1,False,16QAM,50.59878337837144,1.2799716841982445e-10
ETC-ue03-000001,3,ETC,ETC,1,16,6,6.0,7.0,1.0,1,delivered,1,False,16QAM,36.92824765377702,1.2799716841982445e-10
ETC-ue05-000000,5,ETC,ETC,1,16,6,6.0,7.0,1.0,1,delivered,1,False,16QAM,37.429848563886694,1.2799716841982445e-10
ETC-ue06-000001,6,ETC,ETC,1,16,6,6.0,7.0,1.0,1,delivered,1,False,16QAM,39.23952085517699,1.2799716841982445e-10
ETC-ue01-000001,1,ETC,ETC,1,16,7,7.0,8.0,1.0,1,delivered,1,False,16QAM,56.96383958600896,1.2799716841982445e-10
ETC-ue08-000000,8,ETC,ETC,1,16,7,7.0,8.0,1.0,1,delivered,1,False,16QAM,21.043677802295335,2.198440054013151e-05
ETC-ue09-000001,9,ETC,ETC,1,16,7,7.0,8.0,1.0,1,delivered,1,False,16QAM,30.380118311302574,1.2799716841982445e-10
ETC-ue02-000000,2,ETC,ETC,1,16,8,8.0,9.0,1.0,1,delivered,1,False,16QAM,52.3187868611598,1.2799716841982445e-10
ETC-ue05-000001,5,ETC,ETC,1,16,8,8.0,9.0,1.0,1,delivered,1,False,16QAM,29.508093775031906,1.2799716841982445e-10
HRP-ue00-000002,0,HRP,HRP,2,32,8,8.0,9.0,1.0,4,delivered,1,False,16QAM,47.3383210743259,2.559943368396489e-10
HRP-ue01-000002,1,HRP,HRP,2,32,8,8.0,9.0,1.0,4,delivered,1,False,16QAM,60.35008439968181,2.559943368396489e-10
HRP-ue02-000002,2,HRP,HRP,2,32,8,8.0,9.0,1.0,4,delivered,1,False,16QAM,52.3187868611598,2.559943368396489e-10
HRP-ue03-000002,3,HRP,HRP,2,32,8,8.0,9.0,1.0,4,delivered,1,False,16QAM,41.63586648165363,2.559943368396489e-10
HRP-ue04-000002,4,HRP,HRP,2,32,8,8.0,9.0,1.0,4,delivered,1,False,16QAM,41.65487092980956,2.559943368396489e-10
HRP-ue05-000002,5,HRP,HRP,2,32,8,8.0,9.0,1.0,4,delivered,1,False,16QAM,29.508093775031906,2.559943368396489e-10
HRP-ue06-000002,6,HRP,HRP,2,32,8,8.0,9.0,1.0,4,delivered,1,False,QPSK,14.101580589027616,5.069759853459921e-05
HRP-ue07-000002,7,HRP,HRP,2,32,8,8.0,9.0,1.0,4,delivered,1,False,16QAM,33.76780003605934,2.559943368396489e-10
HRP-ue08-000002,8,HRP,HRP,2,32,8,8.0,9.0,1.0,4,delivered,1,False,16QAM,30.483755798223346,2.559943368396489e-10
HRP-ue09-000002,9,HRP,HRP,2,32,8,8.0,9.0,1.0,4,delivered,1,False,16QAM,40.06753247973251,2.559943368396489e-10
ETC-ue05-000002,5,ETC,ETC,1,16,9,9.0,10.0,1.0,1,delivered,1,False,16QAM,38.065428986611686,1.2799716841982445e-10
ETC-ue08-000001,8,ETC,ETC,1,16,9,9.0,10.0,1.0,1,delivered,1,False,16QAM,31.13097156568238,1.2799716841982445e-10
ETC-ue00-000002,0,ETC,ETC,1,16,10,10.0,11.0,1.0,1,delivered,1,False,16QAM,45.08325488970485,1.2799716841982445e-10
ETC-ue02-000001,2,ETC,ETC,1,16,10,10.0,11.0,1.0,1,delivered,1,False,16QAM,43.45781964528369,1.2799716841982445e-10
ETC-ue08-000002,8,ETC,ETC,1,16,12,12.0,13.0,1.0,1,delivered,1,False,16QAM,40.26794793305386,1.2799716841982445e-10
ETC-ue09-000002,9,ETC,ETC,1,16,12,12.0,13.0,1.0,1,delivered,1,False,16QAM,43.059385512782754,1.2799716841982445e-10
HRP-ue00-000003,0,HRP,HRP,2,32,12,12.0,13.0,1.0,4,delivered,1,False,16QAM,54.6289097346944,2.559943368396489e-10
HRP-ue01-000003,1,HRP,HRP,2,32,12,12.0,13.0,1.0,4,delivered,1,False,16QAM,51.420894110311615,2.559943368396489e-10
HRP-ue02-000003,2,HRP,HRP,2,32,12,12.0,13.0,1.0,4,delivered,1,False,16QAM,42.22872049624321,2.559943368396489e-10
HRP-ue03-000003,3,HRP,HRP,2,32,12,12.0,13.0,1.0,4,delivered,1,False,16QAM,43.5400976867208,2.559943368396489e-10
HRP-ue04-000003,4,HRP,HRP,2,32,12,12.0,13.0,1.0,4,delivered,1,False,16QAM,54.58070449538627,2.559943368396489e-10
HRP-ue05-000003,5,HRP,HRP,2,32,12,12.0,13.0,1.0,4,delivered,1,False,16QAM,42.711632025060446,2.559943368396489e-10
HRP-ue06-000003,6,HRP,HRP,2,32,12,12.0,13.0,1.0,4,delivered,1,False,16QAM,50.34384488278992,2.559943368396489e-10
HRP-ue07-000003,7,HRP,HRP,2,32,12,12.0,13.0,1.0,4,delivered,1,False,16QAM,31.344670017556776,2.559943368396489e-10
HRP-ue08-000003,8,HRP,HRP,2,32,12,12.0,13.0,1.0,4,delivered,1,False,16QAM,40.26794793305386,2.559943368396489e-10
HRP-ue09-000003,9,HRP,HRP,2,32,12,12.0,13.0,1.0,4,delivered,1,False,16QAM,43.059385512782754,2.559943368396489e-10
ETC-ue00-000003,0,ETC,ETC,1,16,13,13.0,14.0,1.0,1,delivered,1,False,16QAM,51.49938250341242,1.2799716841982445e-10
ETC-ue09-000003,9,ETC,ETC,1,16,13,13.0,14.0,1.0,1,delivered,1,False,16QAM,35.40526025355394,1.2799716841982445e-10
ETC-ue04-000001,4,ETC,ETC,1,16,14,14.0,15.0,1.0,1,delivered,1,False,16QAM,31.43543001465055,1.2799716841982445e-10
ETC-ue00-000004,0,ETC,ETC,1,16,16,16.0,17.0,1.0,1,delivered,1,False,16QAM,63.48174111318961,1.2799716841982445e-10
ETC-ue05-000003,5,ETC,ETC,1,16,16,16.0,17.0,1.0,1,delivered,1,False,QPSK,14.69551514918129,3.61274020643787e-06
ETC-ue07-000001,7,ETC,ETC,1,16,16,16.0,17.0,1.0,1,delivered,1,False,16QAM,38.00067332565693,1.2799716841982445e-10
HRP-ue00-000004,0,HRP,HRP,2,32,16,16.0,17.0,1.0,4,delivered,1,False,16QAM,63.48174111318961,2.559943368396489e-10
HRP-ue01-000004,1,HRP,HRP,2,32,16,16.0,17.0,1.0,4,delivered,1,False,16QAM,46.70945738823396,2.559943368396489e-10
HRP-ue02-000004,2,HRP,HRP,2,32,16,16.0,17.0,1.0,4,delivered,1,False,16QAM,40.93873265367932,2.559943368396489e-10
HRP-ue03-000004,3,HRP,HRP,2,32,16,16.0,17.0,1.0,4,delivered,1,False,16QAM,37.307039649239734,2.559943368396489e-10
HRP-ue04-000004,4,HRP,HRP,2,32,16,16.0,17.0,1.0,4,delivered,1,False,16QAM,48.82801033032189,2.559943368396489e-10
HRP-ue05-000004,5,HRP,HRP,2,32,16,16.0,17.0,1.0,4,delivered,1,False,QPSK,14.69551514918129,7.225467360871818e-06
HRP-ue06-000004,6,HRP,HRP,2,32,16,16.0,17.0,1.0,4,delivered,1,False,16QAM,24.999107832536133,2.559943368396489e-10
HRP-ue07-000004,7,HRP,HRP,2,32,16,16.0,17.0,1.0,4,delivered,1,False,16QAM,38.00067332565693,2.559943368396489e-10
HRP-ue08-000004,8,HRP,HRP,2,32,16,16.0,17.0,1.0,4,delivered,1,False,16QAM,45.995003528905904,2.559943368396489e-10
HRP-ue09-000004,9,HRP,HRP,2,32,16,16.0,17.0,1.0,4,delivered,1,False,16QAM,31.116617735889115,2.559943368396489e-10
ETC-ue02-000002,2,ETC,ETC,1,16,17,17.0,18.0,1.0,1,delivered,1,False,16QAM,53.44794138681104,1.2799716841982445e-10
ETC-ue00-000005,0,ETC,ETC,1,16,18,18.0,19.0,1.0,1,delivered,1,False,16QAM,56.767853102137096,1.2799716841982445e-10
ETC-ue01-000002,1,ETC,ETC,1,16,18,18.0,19.0,1.0,1,delivered,1,False,16QAM,28.7115800944068,1.2799716841982445e-10
ETC-ue02-000003,2,ETC,ETC,1,16,18,18.0,19.0,1.0,1,delivered,1,False,16QAM,47.581953644498675,1.2799716841982445e-10
ETC-ue00-000006,0,ETC,ETC,1,16,19,19.0,20.0,1.0,1,delivered,1,False,16QAM,37.61826067040518,1.2799716841982445e-10
ETC-ue01-000003,1,ETC,ETC,1,16,19,19.0,20.0,1.0,1,delivered,1,False,16QAM,35.96049615957809,1.2799716841982445e-10
ETC-ue02-000004,2,ETC,ETC,1,16,20,20.0,21.0,1.0,1,delivered,1,False,16QAM,33.49571298824199,1.2799716841982445e-10
ETC-ue05-000004,5,ETC,ETC,1,16,20,20.0,21.0,1.0,1,delivered,1,False,16QAM,43.45840471076499,1.2799716841982445e-10
HRP-ue00-000005,0,HRP,HRP,2,32,20,20.0,21.0,1.0,4,delivered,1,False,16QAM,42.490226675086824,2.559943368396489e-10
HRP-ue01-000005,1,HRP,HRP,2,32,20,20.0,21.0,1.0,4,delivered,1,False,16QAM,36.73768100693436,2.559943368396489e-10
HRP-ue02-000005,2,HRP,HRP,2,32,20,20.0,21.0,1.0,4,delivered,1,False,16QAM,33.49571298824199,2.559943368396489e-10
HRP-ue03-000005,3,HRP,HRP,2,32,20,20.0,21.0,1.0,4,delivered,1,False,16QAM,42.07368012214459,2.559943368396489e-10
HRP-ue04-000005,4,HRP,HRP,2,32,20,20.0,21.0,1.0,4,delivered,1,False,16QAM,30.486156559829716,2.559943368396489e-10
HRP-ue05-000005,5,HRP,HRP,2,32,20,20.0,21.0,1.0,4,delivered,1,False,16QAM,43.45840471076499,2.559943368396489e-10
HRP-ue06-000005,6,HRP,HRP,2,32,20,20.0,21.0,1.0,4,delivered,1,False,16QAM,48.19052660188647,2.559943368396489e-10
HRP-ue07-000005,7,HRP,HRP,2,32,20,20.0,21.0,1.0,4,delivered,1,False,16QAM,46.115077153555255,2.559943368396489e-10
HRP-ue08-000005,8,HRP,HRP,2,32,20,20.0,21.0,1.0,4,delivered,1,False,16QAM,42.765883996191576,2.559943368396489e-10
HRP-ue09-000005,9,HRP,HRP,2,32,20,20.0,21.0,1.0,4,delivered,1,False,16QAM,37.38000162620212,2.559943368396489e-10
SRP-ue00-000001,0,SRP,SRP,3,200,20,20.0,21.0,1.0,50,delivered,1,False,16QAM,42.490226675086824,1.5999646052478056e-09
SRP-ue01-000001,1,SRP,SRP,3,200,20,20.0,21.0,1.0,50,delivered,1,False,16QAM,36.73768100693436,1.5999646052478056e-09
SRP-ue02-000001,2,SRP,SRP,3,200,20,20.0,21.0,1.0,50,delivered,1,False,16QAM,33.49571298824199,1.5999646052478056e-09
SRP-ue03-000001,3,SRP,SRP,3,200,20,20.0,21.0,1.0,50,delivered,1,False,16QAM,42.07368012214459,1.5999646052478056e-09
SRP-ue04-000001,4,SRP,SRP,3,200,20,20.0,21.0,1.0,50,delivered,1,False,16QAM,30.486156559829716,1.5999646052478056e-09
SRP-ue05-000001,5,SRP,SRP,3,200,20,20.0,21.0,1.0,50,delivered,1,False,16QAM,43.45840471076499,1.5999646052478056e-09
SRP-ue06-000001,6,SRP,SRP,3,200,20,20.0,21.0,1.0,50,delivered,1,False,16QAM,48.19052660188647,1.5999646052478056e-09
SRP-ue07-000001,7,SRP,SRP,3,200,20,20.0,21.0,1.0,50,delivered,1,False,16QAM,46.115077153555255,1.5999646052478056e-09
SRP-ue08-000001,8,SRP,SRP,3,200,20,20.0,21.0,1.0,50,delivered,1,False,16QAM,42.765883996191576,1.5999646052478056e-09
SRP-ue09-000001,9,SRP,SRP,3,200,20,20.0,21.0,1.0,50,delivered,1,False,16QAM,37.38000162620212,1.5999646052478056e-09
ETC-ue05-000005,5,ETC,ETC,1,16,21,21.0,22.0,1.0,1,delivered,1,False,16QAM,44.59451878460476,1.2799716841982445e-10
ETC-ue08-000003,8,ETC,ETC,1,16,21,21.0,22.0,1.0,1,delivered,1,False,16QAM,28.384812536645832,1.2799716841982445e-10
ETC-ue03-000002,3,ETC,ETC,1,16,22,22.0,23.0,1.0,1,delivered,1,False,16QAM,40.98715150587884,1.2799716841982445e-10
ETC-ue04-000002,4,ETC,ETC,1,16,22,22.0,23.0,1.0,1,delivered,1,False,16QAM,33.71967230908027,1.2799716841982445e-10
ETC-ue08-000004,8,ETC,ETC,1,16,22,22.0,23.0,1.0,1,delivered,1,False,16QAM,39.30372491815557,1.2799716841982445e-10
ETC-ue03-000003,3,ETC,ETC,1,16,23,23.0,24.0,1.0,1,delivered,1,False,16QAM,40.50840882900552,1.2799716841982445e-10
ETC-ue06-000002,6,ETC,ETC,1,16,23,23.0,24.0,1.0,1,delivered,1,False,16QAM,36.63704789237811,1.2799716841982445e-10
ETC-ue00-000007,0,ETC,ETC,1,16,24,24.0,25.0,1.0,1,delivered,1,False,16QAM,44.10222467516533,1.2799716841982445e-10
HRP-ue00-000006,0,HRP,HRP,2,32,24,24.0,25.0,1.0,4,delivered,1,False,16QAM,44.10222467516533,2.559943368396489e-10
HRP-ue01-000006,1,HRP,HRP,2,32,24,24.0,25.0,1.0,4,delivered,1,False,16QAM,44.89637824541576,2.559943368396489e-10
HRP-ue02-000006,2,HRP,HRP,2,32,24,24.0,25.0,1.0,4,delivered,1,False,16QAM,39.419539395783474,2.559943368396489e-10
HRP-ue03-000006,3,HRP,HRP,2,32,24,24.0,25.0,1.0,4,delivered,1,False,16QAM,49.66071821391222,2.559943368396489e-10
HRP-ue04-000006,4,HRP,HRP,2,32,24,24.0,25.0,1.0,4,delivered,1,False,16QAM,23.78033230880332,4.62478055851534e-10
HRP-ue05-000006,5,HRP,HRP,2,32,24,24.0,25.0,1.0,4,delivered,1,False,16QAM,41.53076320319692,2.559943368396489e-10
HRP-ue06-000006,6,HRP,HRP,2,32,24,24.0,25.0,1.0,4,delivered,1,False,16QAM,39.422350619771976,2.559943368396489e-10
HRP-ue07-000006,7,HRP,HRP,2,32,24,24.0,25.0,1.0,4,delivered,1,False,16QAM,39.420861260781074,2.559943368396489e-10
HRP-ue08-000006,8,HRP,HRP,2,32,24,24.0,25.0,1.0,4,delivered,1,False,16QAM,30.06013981291902,2.559943368396489e-10
HRP-ue09-000006,9,HRP,HRP,2,32,24,24.0,25.0,1.0,4,delivered,1,False,16QAM,20.31944724313929,0.0003349468050606319
ETC-ue07-000002,7,ETC,ETC,1,16,25,25.0,26.0,1.0,1,delivered,1,False,16QAM,41.547036554601576,1.2799716841982445e-10
ETC-ue09-000004,9,ETC,ETC,1,16,27,27.0,28.0,1.0,1,delivered,1,False,16QAM,35.69465743498845,1.2799716841982445e-10
ETC-ue05-000006,5,ETC,ETC,1,16,28,28.0,29.0,1.0,1,delivered,1,False,16QAM,44.20135924257019,1.2799716841982445e-10
HRP-ue00-000007,0,HRP,HRP,2,32,28,28.0,29.0,1.0,4,delivered,1,False,16QAM,49.08124967933215,2.559943368396489e-10
HRP-ue01-000007,1,HRP,HRP,2,32,28,28.0,29.0,1.0,4,delivered,1,False,16QAM,39.877746059574754,2.559943368396489e-10
HRP-ue02-000007,2,HRP,HRP,2,32,28,28.0,29.0,1.0,4,delivered,1,False,16QAM,53.41039800082185,2.559943368396489e-10
HRP-ue03-000007,3,HRP,HRP,2,32,28,28.0,29.0,1.0,4,delivered,1,False,16QAM,46.120526713167536,2.559943368396489e-10
HRP-ue04-000007,4,HRP,HRP,2,32,28,28.0,29.0,1.0,4,delivered,1,False,16QAM,34.1923785083399,2.559943368396489e-10
HRP-ue05-000007,5,HRP,HRP,2,32,28,28.0,29.0,1.0,4,delivered,1,False,16QAM,44.20135924257019,2.559943368396489e-10
HRP-ue06-000007,6,HRP,HRP,2,32,28,28.0,29.0,1.0,4,delivered,1,False,16QAM,22.293402416912244,5.531807300007685e-07
HRP-ue07-000007,7,HRP,HRP,2,32,28,28.0,29.0,1.0,4,delivered,1,False,16QAM,36.56333153441368,2.559943368396489e-10
HRP-ue08-000007,8,HRP,HRP,2,32,28,28.0,29.0,1.0,4,delivered,1,False,16QAM,35.939404851151906,2.559943368396489e-10
HRP-ue09-000007,9,HRP,HRP,2,32,28,28.0,29.0,1.0,4,delivered,1,False,16QAM,37.15873422287437,2.559943368396489e-10
ETC-ue02-000005,2,ETC,ETC,1,16,29,29.0,30.0,1.0,1,delivered,1,False,16QAM,42.91736053861121,1.2799716841982445e-10
ETC-ue01-000004,1,ETC,ETC,1,16,30,30.0,31.0,1.0,1,delivered,1,False,16QAM,50.319792075303134,1.2799716841982445e-10
ETC-ue08-000005,8,ETC,ETC,1,16,30,30.0,31.0,1.0,1,delivered,1,False,16QAM,36.22572139540617,1.2799716841982445e-10
ETC-ue09-000005,9,ETC,ETC,1,16,31,31.0,32.0,1.0,1,delivered,1,False,16QAM,41.06031308047201,1.2799716841982445e-10
HRP-ue00-000008,0,HRP,HRP,2,32,32,32.0,33.0,1.0,4,delivered,1,False,16QAM,41.39004227182654,2.559943368396489e-10
HRP-ue01-000008,1,HRP,HRP,2,32,32,32.0,33.0,1.0,4,delivered,1,False,16QAM,51.9329657127001,2.559943368396489e-10
HRP-ue02-000008,2,HRP,HRP,2,32,32,32.0,33.0,1.0,4,delivered,1,False,16QAM,48.56706420988468,2.559943368396489e-10
HRP-ue03-000008,3,HRP,HRP,2,32,32,32.0,33.0,1.0,4,delivered,1,False,16QAM,49.21876567440626,2.559943368396489e-10
HRP-ue04-000008,4,HRP,HRP,2,32,32,32.0,33.0,1.0,4,delivered,1,False,16QAM,45.433158703086676,2.559943368396489e-10
HRP-ue05-000008,5,HRP,HRP,2,32,32,32.0,33.0,1.0,4,delivered,1,False,16QAM,40.54798133560492,2.559943368396489e-10
HRP-ue06-000008,6,HRP,HRP,2,32,32,32.0,33.0,1.0,4,delivered,1,False,16QAM,46.36373208912354,2.559943368396489e-10
HRP-ue07-000008,7,HRP,HRP,2,32,32,32.0,33.0,1.0,4,delivered,1,False,16QAM,29.451457115679776,2.559943368396489e-10
HRP-ue08-000008,8,HRP,HRP,2,32,32,32.0,33.0,1.0,4,delivered,1,False,16QAM,41.57896235312353,2.559943368396489e-10
HRP-ue09-000008,9,HRP,HRP,2,32,32,32.0,33.0,1.0,4,delivered,1,False,16QAM,39.330174578065574,2.559943368396489e-10
ETC-ue02-000006,2,ETC,ETC,1,16,33,33.0,34.0,1.0,1,delivered,1,False,16QAM,49.02283143814309,1.2799716841982445e-10
