packet_id,ue_id,flow_id,flow_type,priority,size_bytes,arrival_time_ms,start_tx_time_ms,finish_time_ms,tx_duration_ms,deadline_ms,outcome,tx_count,is_deadline_missed,mcs,snr_db,bler
HRP-ue00-000000,0,HRP,HRP,2,32,0,0.0,1.0,1.0,4,delivered,1,False,16QAM,55.06840650477697,2.559943368396489e-10
HRP-ue01-000000,1,HRP,HRP,2,32,0,0.0,1.0,1.0,4,delivered,1,False,16QAM,61.12775423939634,2.559943368396489e-10
HRP-ue02-000000,2,HRP,HRP,2,32,0,0.0,1.0,1.0,4,delivered,1,False,16QAM,47.30553756860941,2.559943368396489e-10
HRP-ue03-000000,3,HRP,HRP,2,32,0,0.0,1.0,1.0,4,delivered,1,False,16QAM,50.98453876038457,2.559943368396489e-10
HRP-ue04-000000,4,HRP,HRP,2,32,0,0.0,1.0,1.0,4,delivered,1,False,16QAM,49.07145813659297,2.559943368396489e-10
HRP-ue05-000000,5,HRP,HRP,2,32,0,0.0,1.0,1.0,4,delivered,1,False,16QAM,36.54620349032085,2.559943368396489e-10
HRP-ue06-000000,6,HRP,HRP,2,32,0,0.0,1.0,1.0,4,delivered,1,False,16QAM,57.9518612012743,2.559943368396489e-10
HRP-ue07-000000,7,HRP,HRP,2,32,0,0.0,1.0,1.0,4,delivered,1,False,16QAM,54.504994853803225,2.559943368396489e-10
HRP-ue08-000000,8,HRP,HRP,2,32,0,0.0,1.0,1.0,4,delivered,1,False,16QAM,44.953042624023865,2.559943368396489e-10
HRP-ue09-000000,9,HRP,HRP,2,32,0,0.0,1.0,1.0,4,delivered,1,False,16QAM,36.01774541221944,2.559943368396489e-10
SRP-ue00-000000,0,SRP,SRP,3,200,0,0.0,1.0,1.0,50,delivered,1,False,16QAM,55.06840650477697,1.5999646052478056e-09
SRP-ue01-000000,1,SRP,SRP,3,200,0,0.0,1.0,1.0,50,delivered,1,False,16QAM,61.12775423939634,1.5999646052478056e-09
SRP-ue02-000000,2,SRP,SRP,3,200,0,0.0,4.0,4.0,50,delivered,3,False,16QAM,61.93831834812962,1.5999646052478056e-09
SRP-ue03-000000,3,SRP,SRP,3,200,0,1.0,2.0,1.0,50,delivered,1,False,16QAM,38.93237669039538,1.5999646052478056e-09
SRP-ue04-000000,4,SRP,SRP,3,200,0,1.0,2.0,1.0,50,delivered,1,False,16QAM,59.29644283456867,1.5999646052478056e-09
SRP-ue05-000000,5,SRP,SRP,3,200,0,1.0,2.0,1.0,50,delivered,1,False,16QAM,35.83629110402673,1.5999646052478056e-09
SRP-ue06-000000,6,SRP,SRP,3,200,0,1.0,4.0,3.0,50,delivered,2,False,16QAM,42.78259832552579,1.5999646052478056e-09
SRP-ue07-000000,7,SRP,SRP,3,200,0,2.0,3.0,1.0,50,delivered,1,False,16QAM,43.6326487820955,1.5999646052478056e-09
SRP-ue08-000000,8,SRP,SRP,3,200,0,2.0,3.0,1.0,50,delivered,1,False,16QAM,40.09353840206332,1.5999646052478056e-09
SRP-ue09-000000,9,SRP,SRP,3,200,0,2.0,3.0,1.0,50,delivered,1,False,16QAM,44.146668425356765,1.5999646052478056e-09
ETC-ue06-000000,6,ETC,ETC,1,16,1,1.0,2.0,1.0,1,delivered,1,False,16QAM,48.34042710190151,1.2799716841982445e-10
ETC-ue09-000000,9,ETC,ETC,1,16,1,1.0,2.0,1.0,1,delivered,1,False,16QAM,54.197488738769486,1.2799716841982445e-10
ETC-ue00-000000,0,ETC,ETC,1,16,2,2.0,3.0,1.0,1,delivered,1,False,16QAM,36.59397043073926,1.2799716841982445e-10
ETC-ue03-000000,3,ETC,ETC,1,16,2,2.0,3.0,1.0,1,delivered,1,False,16QAM,58.65864167911802,1.2799716841982445e-10
